scenario,pool,replicate,source,variant,candidate,graph,reliable,best_order,pair,slope,correlation
growth,0,0,true,poisson_separate,g22_o1,22,False,False,"1,1",-0.02454245622383226,-0.1470206386686414
growth,0,0,true,poisson_separate,g22_o1,22,False,False,"1,2",0.007265339286695468,0.40731718345885265
growth,0,0,true,poisson_separate,g22_o1,22,False,False,"2,2",-0.0451753358951208,-0.2268623667937827
growth,0,0,true,poisson_separate,g16_o1,16,False,True,"0,0",-0.02804509947729583,-0.1856037310567273
growth,0,0,true,poisson_separate,g16_o1,16,False,True,"0,1",0.005554194567584302,0.049892019662141796
growth,0,0,true,poisson_separate,g16_o1,16,False,True,"0,2",0.039267606071599084,0.41610496292615873
growth,0,0,true,poisson_separate,g16_o1,16,False,True,"1,1",-0.030938901859017803,-0.16667153159416054
growth,0,0,true,poisson_separate,g16_o1,16,False,True,"1,2",-0.05366635402631055,-0.4516772570056726
growth,0,0,true,poisson_separate,g16_o1,16,False,True,"2,2",-0.04786490265449156,-0.25143365622353825
growth,0,0,true,poisson_separate,g02_o1,2,False,True,"0,0",-0.023663802673776265,-0.12554476266736664
growth,0,0,true,poisson_separate,g02_o1,2,False,True,"0,1",-0.4225135007502255,-0.5996698479663077
growth,0,0,true,poisson_separate,g02_o1,2,False,True,"0,2",0.17732458452655533,0.5370935784885235
growth,0,0,true,poisson_separate,g02_o1,2,False,True,"1,1",-0.05257070047565288,-0.30374135427891874
growth,0,0,true,poisson_separate,g02_o1,2,False,True,"1,2",0.14975621027100255,0.5575604204076343
growth,0,0,true,poisson_separate,g02_o1,2,False,True,"2,2",-0.05425973625540755,-0.27399421458990286
growth,0,0,true,poisson_separate,g12_o1,12,False,False,"0,0",-0.03709162768555889,-0.18653764895631597
growth,0,0,true,poisson_separate,g12_o1,12,False,False,"0,1",-0.41291749465527267,-0.5979820074432706
growth,0,0,true,poisson_separate,g12_o1,12,False,False,"0,2",0.18036970369492392,0.5384715689895015
growth,0,0,true,poisson_separate,g12_o1,12,False,False,"1,1",-0.03705021539250743,-0.22226407551858746
growth,0,0,true,poisson_separate,g12_o1,12,False,False,"1,2",0.15198820240426428,0.5584188462601098
growth,0,0,true,poisson_separate,g12_o1,12,False,False,"2,2",-0.059810481505867485,-0.29816842163965634
growth,0,0,true,poisson_separate,g15_o2,15,False,True,"0,0",-0.03546523708704946,-0.242845106180963
growth,0,0,true,poisson_separate,g15_o2,15,False,True,"0,1",-0.01830748040159846,-0.12219464933921016
growth,0,0,true,poisson_separate,g15_o2,15,False,True,"0,2",0.001419096685290812,0.3299618898999518
growth,0,0,true,poisson_separate,g15_o2,15,False,True,"1,1",-0.03824242810242364,-0.2176317532374761
growth,0,0,true,poisson_separate,g15_o2,15,False,True,"1,2",0.04248053742202134,0.6982833784144571
