scenario,pool,replicate,source,variant,search,rank,graph,newick,best_order,reliable,logz,elbo
growth,0,1,true,poisson_shared,loop_omitted,15,7,"(((a.1,c),b),a.2)",g07_o1,False,-852.0706898328125,-894.2649911017425
growth,0,1,true,poisson_shared,loop_omitted,16,20,"(((b,c.1),c.2),a)",g20_o1,False,-882.4708496849493,-907.3546609352775
growth,0,1,true,poisson_shared,loop_omitted,17,6,"(((a.1,c),a.2),b)",g06_o1,False,-862.2891776879184,-939.5094968604017
growth,0,1,true,poisson_shared,loop_omitted,18,12,"(((a,c),b.1),b.2)",g12_o1,False,-1161.8623586676615,-1211.5826188257781
growth,0,1,true,poisson_shared,loop_omitted,19,2,"((a,c),b)",g02_o1,False,-1257.6208546286894,-1262.6538874859657
growth,0,1,true,poisson_shared,loop_omitted,20,8,"(((b,c),a.1),a.2)",g08_o2,False,-1198.528405248873,-1264.0162535142929
growth,0,1,true,poisson_shared,loop_omitted,21,3,"((b,c),a)",g03_o1,False,-1206.049709263899,-1286.653121456365
growth,0,1,true,poisson_shared,including_loop,1,15,"((a,b.1),(b.2,c))",g15_o1,False,-193.5687972049205,-210.56604373275835
growth,0,1,true,poisson_shared,including_loop,2,22,"b-loop + ((a,b.1),(b.2,c))",g22_o1,False,-209.6594175408385,-228.2027546700113
growth,0,1,true,poisson_shared,including_loop,3,17,"(((a,c.1),b),c.2)",g17_o1,False,-405.41682455225623,-426.9058734450061
growth,0,1,true,poisson_shared,including_loop,4,9,"((a.1,b),(a.2,c))",g09_o2,False,-321.64272118066054,-438.4102339610956
growth,0,1,true,poisson_shared,including_loop,5,1,"((a,b),c)",g01_o1,False,-438.96760195844035,-443.8352455891191
growth,0,1,true,poisson_shared,including_loop,6,19,"(((b,c.1),a),c.2)",g19_o1,False,-445.24789467780846,-461.62732478909504
growth,0,1,true,poisson_shared,including_loop,7,16,"(((a,b),c.1),c.2)",g16_o2,False,-441.59210384013295,-469.69944598352254
