scenario,pool,replicate,source,variant,candidate,graph,reliable,best_order,lp_ibd,lp_snp,chi2_ibd,chi2_snp
growth,0,6,hapibd,poisson_separate,g15_o1,15,False,False,-195.56512071111595,44.99160865445144,115.15187279215999,3.1852740174928336
growth,0,6,hapibd,poisson_separate,g01_o1,1,False,True,-214.35481394546935,19.913905698478224,145.78778836174206,53.340679929436845
growth,0,6,hapibd,poisson_separate,g11_o1,11,False,True,-206.1357709637238,44.25774340613415,133.4647548733604,4.653004514165138
growth,0,6,hapibd,poisson_separate,g10_o1,10,False,True,-205.99470163999396,45.09787621520435,123.7719830184438,2.9727388960650996
growth,0,6,hapibd,poisson_separate,g04_o1,4,False,True,-212.2837580228291,20.358297691698148,142.55662686931282,52.45189594300544
growth,0,6,hapibd,poisson_separate,g20_o1,20,False,True,-523.5451513797665,18.122444597886677,769.656956362335,56.92360213059183
growth,0,6,hapibd,poisson_separate,g08_o2,8,False,False,-526.247154173316,20.467607979487504,847.2257416934947,52.233275367491245
growth,0,6,hapibd,poisson_separate,g14_o1,14,False,True,-520.5597706281525,22.06068255542784,780.822361812272,49.04712621554207
growth,0,7,true,poisson_shared,g03_o1,3,False,True,-1046.0043139038485,-162.60316284775845,306714.40437134955,418.3837442706772
growth,0,7,true,poisson_shared,g13_o1,13,False,True,-717.303605509033,28.85242947088803,36136.91580890695,35.472559633418534
growth,0,7,true,poisson_shared,g07_o1,7,False,True,-711.4992648878781,-104.64825499835256,7302.480547965408,302.4739285721229
growth,0,7,true,poisson_shared,g17_o1,17,False,True,-303.0189307638524,-80.7077740146461,469.81398747953494,254.5929666044787
growth,0,7,true,poisson_shared,g06_o1,6,False,True,-709.4891651230976,-116.32587456105952,5627.354023513179,325.8291676974094
growth,0,7,true,poisson_shared,g22_o1,22,False,True,-192.31216331904554,43.02416547277977,100.4623438640523,7.12908762958803
growth,0,7,true,poisson_shared,g16_o1,16,False,True,-302.72140614800037,-133.6129668525495,320.2791827577929,360.40335228028016
growth,0,7,true,poisson_shared,g02_o1,2,False,True,-1058.4707710375114,-194.96875937036913,122991.30551188978,483.1149373163561
growth,0,7,true,poisson_shared,g12_o1,12,False,True,-973.7950592600967,-121.90457983372936,1177739.5014513233,336.986578242654
growth,0,7,true,poisson_shared,g15_o2,15,False,False,-209.00178236625345,45.63976219737334,128.81592329292044,1.8978941805340477
growth,0,7,true,poisson_shared,g21_o2,21,False,False,-737.9669685617172,-108.11140634173158,11354.217831055048,309.4002312586177
growth,0,7,true,poisson_shared,g09_o1,9,False,True,-240.5865203346541,-37.05986404048705,247.4077555448555,167.2971466559988
growth,0,7,true,poisson_shared,g19_o1,19,False,True,-294.2029555419944,-142.2688393307675,297.940764228882,377.715097236538
growth,0,7,true,poisson_shared,g08_o1,8,False,True,-1012.527027635813,-165.28754971708162,144429.64436657363,423.75251800944636
growth,0,7,true,poisson_shared,g18_o1,18,False,True,-620.5763788886767,-132.67316407131182,1228.323055633823,358.52374671772054
growth,0,7,true,poisson_shared,g16_o2,16,False,False,-304.07998335760846,-133.49340801263975,322.4847701958764,360.1642346010931
growth,0,7,true,poisson_shared,g22_o2,22,False,False,-207.61829779940877,46.0445818140156,131.69980441895422,1.0882549471981513
growth,0,7,true,poisson_shared,g12_o2,12,False,False,-1030.818012225242,-75.83352540867429,1477.5940213706035,244.84446939279516
